city,tier,hotel_name,hotel_listing_slug,offer_label,room_type,rate_label,period_start,period_end,period_label,room_basis,currency,price_amount,max_adults,max_guests,min_nights,inclusions,cancellation_policy,sort_order,verified_at,status,notes,terms
MADINAH,STANDARD,Madinah Deluxe Aram,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,10,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Artal Taiba,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,11,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Madinah Hilton,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,12,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Astoneast Taiba,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,13,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PELATARAN,Saja al Madinah,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,540,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,14,,INACTIVE,OTA approval draft - closer Madinah option,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,ODEST,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,15,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Ajyal al Madina,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,16,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PELATARAN,Bosphorus,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,540,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,17,,INACTIVE,OTA approval draft - closer Madinah option,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Dallah Taiba,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,18,,INACTIVE,OTA approval draft - premium Madinah 4 star near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PELATARAN,Golden Tulip,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,540,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,19,,INACTIVE,OTA approval draft - upper midscale Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PELATARAN,Tulip in Daar,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,540,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,20,,INACTIVE,OTA approval draft - upper midscale Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Maden Taiba,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,21,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,Diyar AlSaliheen,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,22,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Elaf Group,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,23,,INACTIVE,OTA approval draft - standard Madinah group,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Taiba Front,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,24,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Al Ritz Al Madinah,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,25,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Millennium al Aqeeq,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,26,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,PREMIUM,Movenpick,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,810,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,27,,INACTIVE,OTA approval draft - premium near Nabawi,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,Abraj al Marzam,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,28,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,Marjan Rose,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,29,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,Nusk al Hijrah,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,30,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,STANDARD,Nusk al Madinah,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,290,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,31,,INACTIVE,OTA approval draft - standard Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MADINAH,ECONOMY,Gacine Hotel,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,160,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,32,,INACTIVE,OTA approval draft - economy Madinah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PELATARAN,Elaf Group,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,750,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,33,,INACTIVE,OTA approval draft - closer Makkah group,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Manazel Ajyad,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,34,,INACTIVE,OTA approval draft - standard Makkah Ajyad,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PELATARAN,Makarem Ajyad,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,750,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,35,,INACTIVE,OTA approval draft - upper Makkah Ajyad,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Al Ebaa,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,36,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Emaar Group,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,37,,INACTIVE,OTA approval draft - standard Makkah group,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Al Shahba,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,38,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Mahd ar Resala,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,39,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,ECONOMY,Afraa Hotel,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,170,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,40,,INACTIVE,OTA approval draft - economy Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Pullman Zam-Zam,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,41,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,ECONOMY,Maysal al Talaqo,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,170,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,42,,INACTIVE,OTA approval draft - economy Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Movenpick,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,43,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Makkah Tower,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,44,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Safwa Tower 1,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,45,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Safwa Orchid,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,46,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Makkah Hotel Tower,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,47,,INACTIVE,OTA approval draft - premium tower near Haram,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PELATARAN,Violet,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,750,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,48,,INACTIVE,OTA approval draft - upper midscale Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Anjum,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,49,,INACTIVE,OTA approval draft - premium Makkah 5 star,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PREMIUM,Millennium,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,1100,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,50,,INACTIVE,OTA approval draft - premium Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Ibis,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,51,,INACTIVE,OTA approval draft - standard Makkah branded,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Mercure,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,52,,INACTIVE,OTA approval draft - standard Makkah branded,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Al fouad Tower,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,53,,INACTIVE,OTA approval draft - standard Makkah tower,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,PELATARAN,Voco,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,750,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,54,,INACTIVE,OTA approval draft - upper Makkah 4 star shuttle,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Novotel Thakher,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,55,,INACTIVE,OTA approval draft - standard Makkah 4 star shuttle,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Miaad al Majd,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,56,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Alayam Elite,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,57,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,SAJA,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,58,,INACTIVE,OTA approval draft - standard Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,STANDARD,Al Hidayah Tower,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,360,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,59,,INACTIVE,OTA approval draft - standard Makkah tower,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,ECONOMY,Al Kiswah Tower,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,170,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,60,,INACTIVE,OTA approval draft - economy Makkah tower,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,ECONOMY,Saif al Majid,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,170,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,61,,INACTIVE,OTA approval draft - economy Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
MAKKAH,ECONOMY,Palestine Hotel,,OTA January 2027 dummy,Standard Room,Manual availability check,2027-01-01,2027-01-31,Jan 2027,per kamar per malam,SAR,170,2,2,1,"WiFi jika tersedia, detail final via WhatsApp",Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,62,,INACTIVE,OTA approval draft - economy Makkah,Dummy import fixture. Ketersediaan dan booking final setelah admin cek ke hotel
