city,tier,hotel_name,hotel_listing_slug,offer_label,room_type,rate_label,period_start,period_end,period_label,room_basis,currency,price_amount,max_adults,max_guests,min_nights,inclusions,cancellation_policy,sort_order,verified_at,status,notes,terms
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 16 Jun - 31 Aug 2026,Single Room,FB meal plan,2026-06-16,2026-08-31,16 Jun - 31 Aug 2026,per kamar per malam,SAR,1485,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,0,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 JUNE 2026 TO 31 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Nov - 18 Dec 2026,Triple Room,FB meal plan,2026-11-19,2026-12-18,19 Nov - 18 Dec 2026,per kamar per malam,SAR,3280,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,11,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 NOV 2026 TO 18 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Dec 2026 - 11 Jan 2027,Single Room,FB meal plan,2026-12-19,2027-01-11,19 Dec 2026 - 11 Jan 2027,per kamar per malam,SAR,2775,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,12,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 DEC 2026 TO 11 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Dec 2026 - 11 Jan 2027,Double Room,FB meal plan,2026-12-19,2027-01-11,19 Dec 2026 - 11 Jan 2027,per kamar per malam,SAR,3180,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,13,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 DEC 2026 TO 11 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 19 Dec 2026 - 11 Jan 2027,Triple Room,FB meal plan,2026-12-19,2027-01-11,19 Dec 2026 - 11 Jan 2027,per kamar per malam,SAR,3835,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,14,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 19 DEC 2026 TO 11 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 12 Jan - 7 Feb 2027,Single Room,FB meal plan,2027-01-12,2027-02-07,12 Jan - 7 Feb 2027,per kamar per malam,SAR,2035,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,15,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 12 JAN 2027 TO 7 FEB 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 12 Jan - 7 Feb 2027,Double Room,FB meal plan,2027-01-12,2027-02-07,12 Jan - 7 Feb 2027,per kamar per malam,SAR,2445,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,16,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 12 JAN 2027 TO 7 FEB 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Hilton Madinah,,Alharmain PDF 12 Jan - 7 Feb 2027,Triple Room,FB meal plan,2027-01-12,2027-02-07,12 Jan - 7 Feb 2027,per kamar per malam,SAR,3095,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,17,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 12 JAN 2027 TO 7 FEB 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 5 Jun - 30 Aug 2026,Double Room,FB meal plan,2026-06-05,2026-08-30,5 Jun - 30 Aug 2026,per kamar per malam,SAR,2060,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,18,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 5 JUNE 2026 TO 30 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 5 Jun - 30 Aug 2026,Triple Room,FB meal plan,2026-06-05,2026-08-30,5 Jun - 30 Aug 2026,per kamar per malam,SAR,2950,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,19,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 5 JUNE 2026 TO 30 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 5 Jun - 30 Aug 2026,Quad Room,FB meal plan,2026-06-05,2026-08-30,5 Jun - 30 Aug 2026,per kamar per malam,SAR,3840,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,20,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 5 JUNE 2026 TO 30 AUGUST 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 30 Aug - 23 Sep 2026,Double Room,FB meal plan,2026-08-30,2026-09-23,30 Aug - 23 Sep 2026,per kamar per malam,SAR,2500,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,21,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 30 AUGUST 2026 TO 23 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 30 Aug - 23 Sep 2026,Triple Room,FB meal plan,2026-08-30,2026-09-23,30 Aug - 23 Sep 2026,per kamar per malam,SAR,3390,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,22,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 30 AUGUST 2026 TO 23 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 30 Aug - 23 Sep 2026,Quad Room,FB meal plan,2026-08-30,2026-09-23,30 Aug - 23 Sep 2026,per kamar per malam,SAR,4280,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,23,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 30 AUGUST 2026 TO 23 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 23 Sep - 27 Sep 2026,Double Room,FB meal plan,2026-09-23,2026-09-27,23 Sep - 27 Sep 2026,per kamar per malam,SAR,2750,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,24,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 23 SEP 2026 TO 27 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 23 Sep - 27 Sep 2026,Triple Room,FB meal plan,2026-09-23,2026-09-27,23 Sep - 27 Sep 2026,per kamar per malam,SAR,3640,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,25,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 23 SEP 2026 TO 27 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 23 Sep - 27 Sep 2026,Quad Room,FB meal plan,2026-09-23,2026-09-27,23 Sep - 27 Sep 2026,per kamar per malam,SAR,4530,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,26,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 23 SEP 2026 TO 27 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 27 Sep - 22 Oct 2026,Double Room,FB meal plan,2026-09-27,2026-10-22,27 Sep - 22 Oct 2026,per kamar per malam,SAR,2500,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,27,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 27 SEP 2026 TO 22 OCT 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 27 Sep - 22 Oct 2026,Triple Room,FB meal plan,2026-09-27,2026-10-22,27 Sep - 22 Oct 2026,per kamar per malam,SAR,3390,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,28,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 27 SEP 2026 TO 22 OCT 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Dar Al Taqwa,,Alharmain PDF 27 Sep - 22 Oct 2026,Quad Room,FB meal plan,2026-09-27,2026-10-22,27 Sep - 22 Oct 2026,per kamar per malam,SAR,4280,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,29,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 27 SEP 2026 TO 22 OCT 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 25 Jun - 30 Sep 2026,Double Room,FB meal plan,2026-06-25,2026-09-30,25 Jun - 30 Sep 2026,per kamar per malam,SAR,1030,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,30,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 25 JUNE 2026 TO 30 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 25 Jun - 30 Sep 2026,Triple Room,FB meal plan,2026-06-25,2026-09-30,25 Jun - 30 Sep 2026,per kamar per malam,SAR,1280,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,31,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 25 JUNE 2026 TO 30 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 25 Jun - 30 Sep 2026,Quad Room,FB meal plan,2026-06-25,2026-09-30,25 Jun - 30 Sep 2026,per kamar per malam,SAR,1530,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,32,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 25 JUNE 2026 TO 30 SEP 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 1 Oct - 5 Nov 2026,Double Room,FB meal plan,2026-10-01,2026-11-05,1 Oct - 5 Nov 2026,per kamar per malam,SAR,1080,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,33,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 OCT 2026 TO 5 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 1 Oct - 5 Nov 2026,Triple Room,FB meal plan,2026-10-01,2026-11-05,1 Oct - 5 Nov 2026,per kamar per malam,SAR,1330,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,34,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 OCT 2026 TO 5 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 1 Oct - 5 Nov 2026,Quad Room,FB meal plan,2026-10-01,2026-11-05,1 Oct - 5 Nov 2026,per kamar per malam,SAR,1580,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,35,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 1 OCT 2026 TO 5 NOV 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 6 Nov - 15 Dec 2026,Double Room,FB meal plan,2026-11-06,2026-12-15,6 Nov - 15 Dec 2026,per kamar per malam,SAR,1680,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,36,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 6 NOV 2026 TO 15 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 6 Nov - 15 Dec 2026,Triple Room,FB meal plan,2026-11-06,2026-12-15,6 Nov - 15 Dec 2026,per kamar per malam,SAR,1930,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,37,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 6 NOV 2026 TO 15 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 6 Nov - 15 Dec 2026,Quad Room,FB meal plan,2026-11-06,2026-12-15,6 Nov - 15 Dec 2026,per kamar per malam,SAR,2180,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,38,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 6 NOV 2026 TO 15 DEC 2026,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 16 Dec 2026 - 5 Jan 2027,Double Room,FB meal plan,2026-12-16,2027-01-05,16 Dec 2026 - 5 Jan 2027,per kamar per malam,SAR,1800,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,39,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 DEC 2026 TO 5 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 16 Dec 2026 - 5 Jan 2027,Triple Room,FB meal plan,2026-12-16,2027-01-05,16 Dec 2026 - 5 Jan 2027,per kamar per malam,SAR,2050,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,40,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 DEC 2026 TO 5 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 16 Dec 2026 - 5 Jan 2027,Quad Room,FB meal plan,2026-12-16,2027-01-05,16 Dec 2026 - 5 Jan 2027,per kamar per malam,SAR,2300,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,41,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 16 DEC 2026 TO 5 JAN 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 6 Jan - 7 Feb 2027,Double Room,FB meal plan,2027-01-06,2027-02-07,6 Jan - 7 Feb 2027,per kamar per malam,SAR,1680,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,42,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 6 JAN 2027 TO 7 FEB 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
MADINAH,STANDARD,Hotel Burj Al Madinah,,Alharmain PDF 6 Jan - 7 Feb 2027,Triple Room,FB meal plan,2027-01-06,2027-02-07,6 Jan - 7 Feb 2027,per kamar per malam,SAR,1930,2,2,1,WiFi/detail fasilitas dicek manual via WhatsApp,Ketersediaan akhir dan payment dilanjutkan manual via WhatsApp,43,2026-07-06,INACTIVE,Source: (Madina Hotel 2026) New Season Far East 15 June 20_260630_175141.pdf | Page: madina_page-02.png | Meal: FB | Source period text: 6 JAN 2027 TO 7 FEB 2027,"Harga, pajak, dan availability final setelah admin cek manual ke hotel/OTA."
